OMRÅDE;ALDER;TID;CIVILSTAND;INDHOLD
Dragør;10 år;2008K1;Ugift;181
Dragør;10 år;2008K1;Gift/separeret;0
Dragør;10 år;2008K1;Enke/enkemand;0
Dragør;10 år;2009K2;Ugift;210
Dragør;10 år;2009K2;Gift/separeret;0
Dragør;10 år;2009K2;Enke/enkemand;0
Dragør;10 år;2010K1;Ugift;190
Dragør;10 år;2010K1;Gift/separeret;0
Dragør;10 år;2010K1;Enke/enkemand;0
Dragør;10 år;2013K4;Ugift;183
Dragør;10 år;2013K4;Gift/separeret;0
Dragør;10 år;2013K4;Enke/enkemand;0
Dragør;10 år;2014K4;Ugift;181
Dragør;10 år;2014K4;Gift/separeret;0
Dragør;10 år;2014K4;Enke/enkemand;0
Dragør;10 år;2019K1;Ugift;219
Dragør;10 år;2019K1;Gift/separeret;0
Dragør;10 år;2019K1;Enke/enkemand;0
Dragør;18 år;2008K1;Ugift;142
Dragør;18 år;2008K1;Gift/separeret;0
Dragør;18 år;2008K1;Enke/enkemand;0
Dragør;18 år;2009K2;Ugift;166
Dragør;18 år;2009K2;Gift/separeret;0
Dragør;18 år;2009K2;Enke/enkemand;0
Dragør;18 år;2010K1;Ugift;191
Dragør;18 år;2010K1;Gift/separeret;0
Dragør;18 år;2010K1;Enke/enkemand;0
Dragør;18 år;2013K4;Ugift;185
Dragør;18 år;2013K4;Gift/separeret;0
Dragør;18 år;2013K4;Enke/enkemand;0
Dragør;18 år;2014K4;Ugift;181
Dragør;18 år;2014K4;Gift/separeret;0
Dragør;18 år;2014K4;Enke/enkemand;0
Dragør;18 år;2019K1;Ugift;158
Dragør;18 år;2019K1;Gift/separeret;0
Dragør;18 år;2019K1;Enke/enkemand;0
Dragør;27 år;2008K1;Ugift;30
Dragør;27 år;2008K1;Gift/separeret;9
Dragør;27 år;2008K1;Enke/enkemand;0
Dragør;27 år;2009K2;Ugift;35
Dragør;27 år;2009K2;Gift/separeret;7
Dragør;27 år;2009K2;Enke/enkemand;0
Dragør;27 år;2010K1;Ugift;29
Dragør;27 år;2010K1;Gift/separeret;9
Dragør;27 år;2010K1;Enke/enkemand;0
Dragør;27 år;2013K4;Ugift;40
Dragør;27 år;2013K4;Gift/separeret;7
Dragør;27 år;2013K4;Enke/enkemand;0
Dragør;27 år;2014K4;Ugift;53
Dragør;27 år;2014K4;Gift/separeret;8
Dragør;27 år;2014K4;Enke/enkemand;1
Dragør;27 år;2019K1;Ugift;53
Dragør;27 år;2019K1;Gift/separeret;10
Dragør;27 år;2019K1;Enke/enkemand;0
Dragør;77 år;2008K1;Ugift;1
Dragør;77 år;2008K1;Gift/separeret;56
Dragør;77 år;2008K1;Enke/enkemand;22
Dragør;77 år;2009K2;Ugift;1
Dragør;77 år;2009K2;Gift/separeret;54
Dragør;77 år;2009K2;Enke/enkemand;29
Dragør;77 år;2010K1;Ugift;0
Dragør;77 år;2010K1;Gift/separeret;59
Dragør;77 år;2010K1;Enke/enkemand;28
Dragør;77 år;2013K4;Ugift;2
Dragør;77 år;2013K4;Gift/separeret;72
Dragør;77 år;2013K4;Enke/enkemand;41
Dragør;77 år;2014K4;Ugift;4
Dragør;77 år;2014K4;Gift/separeret;72
Dragør;77 år;2014K4;Enke/enkemand;35
Dragør;77 år;2019K1;Ugift;0
Dragør;77 år;2019K1;Gift/separeret;80
Dragør;77 år;2019K1;Enke/enkemand;23
Dragør;25 år;2008K1;Ugift;24
Dragør;25 år;2008K1;Gift/separeret;3
Dragør;25 år;2008K1;Enke/enkemand;0
Dragør;25 år;2009K2;Ugift;38
Dragør;25 år;2009K2;Gift/separeret;4
Dragør;25 år;2009K2;Enke/enkemand;0
Dragør;25 år;2010K1;Ugift;41
Dragør;25 år;2010K1;Gift/separeret;10
Dragør;25 år;2010K1;Enke/enkemand;0
Dragør;25 år;2013K4;Ugift;45
Dragør;25 år;2013K4;Gift/separeret;4
Dragør;25 år;2013K4;Enke/enkemand;0
Dragør;25 år;2014K4;Ugift;48
Dragør;25 år;2014K4;Gift/separeret;5
Dragør;25 år;2014K4;Enke/enkemand;0
Dragør;25 år;2019K1;Ugift;64
Dragør;25 år;2019K1;Gift/separeret;0
Dragør;25 år;2019K1;Enke/enkemand;0
Dragør;33 år;2008K1;Ugift;43
Dragør;33 år;2008K1;Gift/separeret;86
Dragør;33 år;2008K1;Enke/enkemand;0
Dragør;33 år;2009K2;Ugift;39
Dragør;33 år;2009K2;Gift/separeret;76
Dragør;33 år;2009K2;Enke/enkemand;2
Dragør;33 år;2010K1;Ugift;39
Dragør;33 år;2010K1;Gift/separeret;84
Dragør;33 år;2010K1;Enke/enkemand;0
Dragør;33 år;2013K4;Ugift;55
Dragør;33 år;2013K4;Gift/separeret;68
Dragør;33 år;2013K4;Enke/enkemand;0
Dragør;33 år;2014K4;Ugift;37
Dragør;33 år;2014K4;Gift/separeret;45
Dragør;33 år;2014K4;Enke/enkemand;0
Dragør;33 år;2019K1;Ugift;47
Dragør;33 år;2019K1;Gift/separeret;49
Dragør;33 år;2019K1;Enke/enkemand;0
Gladsaxe;10 år;2008K1;Ugift;807
Gladsaxe;10 år;2008K1;Gift/separeret;0
Gladsaxe;10 år;2008K1;Enke/enkemand;0
Gladsaxe;10 år;2009K2;Ugift;787
Gladsaxe;10 år;2009K2;Gift/separeret;0
Gladsaxe;10 år;2009K2;Enke/enkemand;0
